Job_Name,Company,City,Job_type,Employees,Followers,Applicants,Industry,Level,Involvment,skills,Job_skills,skills_skills,Class
IT Manager,Youth India E-School,New Delhi,On-site,1,0.000252409,39,Higher Education ,Entry level,Full-time,communication javascript mern stack network administration organizing meetings project management project management software project performance resource planning service desk,"'global mnc', 'expectationsskillsadvanced', 'java script', 'mern', 'administrationagile development', 'scrum', 'themstrong', 'issuesanalytical', 'completionorganization', 'budgetexcellent', 'skillsrequirementsminimum', 'teamsbachelor degree', 'computer science', 'perks'",'mern stack network administration organizing meetings project',Class 4
Human Resources Manager-Night Shift,Alpha Net,Mohali district,On-site,0.053856097,0.001858651,28,Information Technology & Services ,Entry level,Full-time,human resources (hr)managementattention to detail employee benefits employee benefits design hr policies payroll administration performance management recruiting strategic initiatives,'develop',"'detail employee benefits employee benefits', 'payroll administration performance'",Class 2
Manager,Wishup.co,Delhi,Remote,0.026928048,0.002925654,64,Management Consulting ,Associate,Full-time,business management calendaring english executive administrative assistance lead generation lead management microsoft excel project management spoken english virtual assistance,"'online business', 'admin', 'operations', 'support role', 'wishup', 'online business', 'aptitude', 'english', 'wishup', 'wishup', 'india', 'iitm', 'iima', 'orios venture partners', 'inflection point ventures', 'tracxn', 'mato peric', 'job profile', 'online business', 'wishup', 'wishup', 'us', 'international', 'cxos', 'us', 'constant', 'scope', 'balanceroles', 'online business manager', 'ecommerce assistance', 'amazon', 'project management- advanced excel', 'mis', 'lead', 'online', 'itinerary planning', 'calendar management', 'inbox management', 'us', 'zonesjob', 'windows', 'mac', 'word', 'excel', 'outlook', 'powerpoint', 'headphoneswork shift', 'company', 'media', 'linkedin', 'wishup', 'wishup'","'business', 'microsoft excel project'",Class 2
Human Resources Intern,Skyline Digital Solutions,Delhi,Remote,0.010771219,0.002271684,34,Information Technology & Services ,Entry level,Internship,hr managementcommunication employee relations interpersonal communication interpersonal skills organization skills presentation skills problem solving teamwork training,"'job', 'internshipinternship type', 'paidstipend', 'performance'","'skills organization skills', 'skills problem solving teamwork'",Class 2
Enterprise Resources Planning Specialist,Fine Taste Foods Pvt. Ltd.,Ahmedabad,On-site,0.010771219,0.00018357,16,Food & Beverages ,Entry level,Full-time,business administrationanalytical skills change management dashboard data control data integrity enterprise resource planning (erp) system administration test scripts training manuals,'coordinate',"'business', 'administrationanalytical skills', 'dashboard data control data integrity enterprise resource planning', 'erp', 'system administration test scripts'",Class 2
Manager - Regional studentsâ€™ recruitment,Groupe Gautam,New Delhi,Hybrid,0.010771219,6.88E-05,71,Financial Services ,Entry level,Full-time,human resources (hr)communication english recruiting relationship building sales spoken english student recruiting talent management written communication,"'manager', 'regional', 'india', 'india', 'rio', 'negotiate', 'support', 'india', 'india', 'nepal', 'sri', 'attend', 'agent', 'mba', 'strong', 'fluency', 'english', 'strong agent network'","'communication english', 'spoken english student'",Class 2
Executive Assistant,Edera,Pune,On-site,0.010771219,0.000722809,19,E-learning ,Entry level,Full-time,managementcalendaring communication communication training executive administrative assistance logistics management microsoft office oral communication skilled multi-tasker time management,"'hiring', 'alertwe'","'communication communication', 'microsoft office'",Class 2
Business Manager - Process & Automation,Events 4 Sure,Gurugram,On-site,0.010771219,0.001376778,9,Events Services ,Entry level,Full-time,crm databases innovation management leadership process automation process improvement technical support,"'job', 'manager', 'process', 'automationprimary regions', 'middle east', 'africa', 'uk', 'usa', 'canadawork'","'crm', 'innovation management leadership'",Class 2
HR recruiter,AK Networks India,Govindpuri Kalkaji,On-site,0.010771219,6.88E-05,43,Staffing & Recruiting ,Mid-Senior level,Full-time,human resources (hr)technical recruitingapplicant tracking systems employee relations interviewing recruiting social media sourcing talent management teamwork,"'hiringhr', 'hrexperience', 'govindpuri', 'delhi'","'technical', 'recruitingapplicant tracking systems employee relations'",Class 2
Assistant Manager - Service Delivery,Flipkart,Bengaluru,On-site,0.538614821,0.514697109,65,Computer Software ,Mid-Senior level,Full-time,communication customer experience customer satisfaction delivery performance incident management key performance indicators performance metrics root cause service delivery service-level agreements (sla),"'flipkart', 'service', 'bmc remedy'","'root cause service delivery', 'sla'",Class 3
Technical Support Executive,Prayatnamicro Finance Ltd.,New Delhi,On-site,1,0.000137678,5,Financial Services ,Mid-Senior level,Full-time,marketingbusiness strategy marketing strategy negotiation networking social media team leadership teamwork technical support troubleshooting,"'technical', 'requirednote'","'marketingbusiness', 'strategy marketing strategy'",Class 4
HRBP - Sales,IndiaMART InterMESH Limited,Ahmedabad,On-site,0.269280483,0.156700321,34,Computer Software ,Mid-Senior level,Full-time,human resources (hr)employee engagement hr business partnering talent management,"'hr', 'hr'",'employee engagement hr business partnering talent',Class 2
Recruitment Specialist,FPSJOB.com,Jaipur,On-site,1,0.000344195,7,Education Management ,Mid-Senior level,Full-time,human resources (hr)applicant tracking systems candidate selection communication fps interpersonal skills recruiting talent management teamwork tracking systems,"'fps', 'iits', 'fps jobs', 'fps jobs', 'india', 'byjus', 'physics', 'vidyapeeth'","'systems candidate', 'skills recruiting talent'",Class 4
Head of Operations (Sports),Sporjo,Punjab,On-site,0.010771219,0.00083754,85,Sports ,Director,Full-time,operations management sports sports management,"'operations', 'sports', 'club', 'academy', 'sports', 'sports operations', 'football', 'hockey'",'management sports sports',Class 2
Trainee US IT Recruiter,Mindlance,Indore,On-site,0.269280483,0.023692061,38,Staffing & Recruiting ,Mid-Senior level,Full-time,human resources (hr)client requirements communication compensation employee benefits hiring interpersonal skills recruiting resume screening,"'job', 'title', 'bangalore', 'indoreshift', 'shift', 'btech cs/ec/it', 'bca', 'bsc', 'mca'","'client requirements communication compensation employee benefits', 'skills recruiting resume'",Class 2
Client Relationship Manager,Wishup.co,Delhi,Remote,0.026928048,0.002925654,124,Management Consulting ,Associate,Full-time,business management calendaring customer relationship management (crm) english executive administrative assistance microsoft excel project management research spoken english virtual assistance,"'online business', 'admin', 'operations', 'support role', 'wishup', 'online business', 'aptitude', 'english'","'business', 'crm', 'english executive administrative assistance microsoft excel project'",Class 2
Human Resources Generalist,Allsport.in by Khelo Tech & Strategy Private Limited.,Saket,On-site,1,0.000172097,22,Information Technology & Services ,Mid-Senior level,Full-time,human resources (hr)managementhuman resources information systems (hris) leave management payroll administration policy writing recruiting salary travel,"'responsibilities1', 'leave', 'payroll'","'managementhuman resources information systems', 'hris', 'leave management payroll'",Class 4
Business Development Executive,Tekki Web Solutions Inc.,Ludhiana,On-site,0.010771219,0.000860486,8,Information Technology & Services ,Mid-Senior level,Full-time,account management business development business systems business systems analysis customer support documentation interpersonal communication interpersonal skills project plans relationship building,'elicit',"'account', 'business systems', 'business systems analysis customer support documentation', 'skills project', 'relationship building'",Class 2
House Keeping Executive,PVR Limited,Gurugram,On-site,0.538614821,0.047843047,10,Entertainment ,Mid-Senior level,Full-time,managementdaily operations forecasting hospitality housekeeping invoice processing leadership negotiation operations retail,"'housekeeping', 'invoice management', 'standard', 'cleanliness'",'managementdaily operations',Class 1
Client Quality Analyst Intern,Mogi I/O : OTT/Podcast/Short Video Apps for you,Saket,On-site,1,0.000355668,35,Computer Software ,Mid-Senior level,Full-time,analytical skills communication documentation mobile testing quality assurance quality control shopify test cases test planning test scripts,"'jobjob', 'internmogi', 'saas', 'ott', 'ott'",'skills communication',Class 4
Engineer - Structural,Thornton Tomasetti,Mumbai,Hybrid,0.269280483,0.017852226,13,Design ,Associate,Full-time,building codes building information modeling (bim) civil engineering etabs geotechnical engineering modeling and simulation risa reinforced concrete staad-pro structural analysis,"'architects', 'bim', 'architecture', 'sap2000', 'etabs', 'ram', 'pca software', 'revit', 'autocad', 'us'","'bim', 'civil engineering', 'simulation'",Class 2
Process Advisor,Barclays,Pune,On-site,0.538614821,0.775791648,46,Financial Services ,Associate,Full-time,analytical skills collating communication financial transaction processing international regulations knowledge process outsourcing (kpo) performance reviews query resolution query writing service levels,"'puneabout', 'barclaysbarclays', 'british', 'enterprise wide risk', 'barclays policies', 'policy', 'workingbuk', 'bx', 'maintain', 'email', 'excel', 'powerpoint', 'ability', 'graduate fresher', 'barclaysat barclays', 'globally connected', 'barclays', 'values', 'mindsetwe', 'integrity', 'service', 'excellence', 'mindset', 'mindset', 'empower', 'challenge', 'include', 'taleo'","'skills collating', 'kpo'",Class 3
Human Resources Manager,A3 Hiring,Mumbai,On-site,1,8.03E-05,28,Human Resources ,Mid-Senior level,Full-time,human resources (hr)compensation compensation management corporate recruiting employee benefits employee relations events hr strategy recruiting training & development,"'job', 'managerlocation', 'mumbaiexperience'",'compensation compensation management corporate',Class 4
Relationship Manager,Ginteja,Delhi,Hybrid,1,0.000240936,30,Insurance ,Mid-Senior level,Full-time,marketingaccount management communication financial analysis insurance policies negotiation research team leadership teamwork training,'health','marketingaccount',Class 4
Facebook operations Lead,Shemaroo Entertainment Ltd.,Mumbai,On-site,0.053856097,0.008937586,61,Entertainment ,Mid-Senior level,Full-time,analytical skills content management facebook gujarati hindi monetization operational execution people-oriented strategy,"'facebook', 'company leadership', 'facebook', 'operations', 'business insights'",'skills content',Class 2
Java developer,White Force Group,Delhi,On-site,0.026928048,0.002787976,57,Staffing & Recruiting ,Entry level,Full-time,analytical skills back-end web development cascading style sheets (css) json java maven object-oriented programming (oop) python (programming language) restful webservices software development,'senior java',"'skills', 'css', 'json java maven', 'oop', 'python', 'restful', 'software development'",Class 2
Executive Assistant,CoFynd,Gurugram,On-site,1,0.000378614,118,Information Technology & Services ,Mid-Senior level,Full-time,managementcalendaring communication communication training executive administrative assistance logistics management microsoft office oral communication skilled multi-tasker time management,'calendar',"'communication communication', 'microsoft office'",Class 4
Marketing Intern,FuzeMee,Delhi,Remote,1,0.000826067,15,Internet ,Mid-Senior level,Internship,digital marketingmarketingcommunication market research marketing strategy organization skills problem solving public relations social media marketing writing,"'fuzemee', 'india', 'remote', 'india2', 'home'","'digital', 'marketingmarketingcommunication market', 'skills problem solving public relations social media marketing writing'",Class 4
Assistant Manager - Business Loans(JR00111507),Bajaj Finserv,Delhi,On-site,0.538614821,0.378946765,8,Financial Services ,Mid-Senior level,Full-time,business loans communication finance financial services interpersonal skills loan origination loan servicing loans team management timelines,"'jr00111507', 'manager', 'business loans'",'business loans communication finance financial services interpersonal skills loan origination loan',Class 1
IT Infra Support,STL - Sterlite Technologies Limited,Mohol,Hybrid,0.269280483,0.071684259,11,Telecommunications ,Mid-Senior level,Full-time,information technologycomputer science enquiries it management itil microsoft sql server network administration networking system administration troubleshooting,"'role purpose', 'it', 'experience', 'it', 'it', 'mm', 'qm', 'sd'","'microsoft sql server network', 'system administration'",Class 2
Associate Operations Manager,Zolo,Mangaluru,On-site,0.053856097,0.011140431,53,Hospitality ,Associate,Full-time,auditing csat customer relationship management (crm) customer satisfaction english key performance indicators operations management p&l management stakeholder management team management,"'kras1', 'client', 'maintain', 'food', 'repair', 'maintenance', 'wifi', 'laundry', 'hostel management', 'caretakers', 'wardens', 'blue'","'csat customer relationship management', 'crm'",Class 2
Business Development Associate,BYJU'S,Gurugram,On-site,0.538614821,0.408776962,5,E-learning ,Mid-Senior level,Full-time,businessbusiness development recruiting resume salary,"'think', 'learn pvt', 'byjussalary'",'businessbusiness',Class 1
"Full Stack Application Engineer, Associate",BlackRock,Gurgaon,Hybrid,0.538614821,0.291257458,28,Financial Services ,Mid-Senior level,Full-time,acceptance testing code review functional requirements java performance multi-country object-oriented languages problem solving software engineering practices software systems technical design,"'curious', 'blackrock', 'java', 'python', 'cassandra', 'kafka', 'apache ignite', 'angular', 'calculate portfolio risk', 'perform portfolio accounting', 'navigate', 'angular', 'react', 'ngrx', 'typescript', 'java or python', 'sdlc', 'tdd', 'postgresql', 'mysql', 'sybase', 'nosql', 'java performance testing', 'jmeter'","'acceptance', 'software systems technical'",Class 1
Business Analyst,ToXSL Technologies Pvt Ltd,Sahibzada Ajit Singh Nagar,On-site,0.026928048,0.002971547,36,Information Technology & Services ,Mid-Senior level,Full-time,business analysis business development compensation customer relationship management (crm) group health insurance linkedin sales navigator market research project coordination project management sales,"'linkedin', 'linkedin', 'navigator'","'business', 'analysis business development', 'crm', 'group health insurance', 'navigator market research project'",Class 2
Data Engineer (Python),Mobile Programming LLC,Gurugram,On-site,0.269280483,0.017680128,2,Information Technology & Services ,Mid-Senior level,Full-time,"amazon web services (aws) apache spark data engineering data structures extract, transform, load (etl) good clinical practice (gcp) microsoft azure pyspark python (programming language) scala","'data', 'engineer', 'python', 'gurugramrequired skill', 'python', 'python', 'pyspark', 'spark', 'good understanding of data', 'scala', 'pyspark'","'amazon', 'aws', 'apache spark data engineering data structures extract', 'transform', 'load', 'etl', 'good clinical practice', 'gcp', 'microsoft azure pyspark python', 'scala'",Class 2
HR Generalist,Solace Infotech Private Limited,Nasik,On-site,0.010771219,0.001181735,41,Information Technology & Services ,Mid-Senior level,Full-time,human resources (hr)communication database administration databases employee engagement employer branding english payroll administration payroll management people management,"'database management3', 'hr4', 'strong', 'employee engagement activities5', 'payroll management6', 'strong'",'communication database administration databases employee engagement employer branding english payroll administration payroll',Class 2
Data Entry Clerk,auroin.com,Bhubaneswar,On-site,0.010771219,0.002271684,20,Information Technology & Services ,Mid-Senior level,Full-time,digital marketingmarketingdata entry email marketing hiring lead generation typing,"'auroin', 'data', 'job location', 'patia'","'digital', 'marketingmarketingdata entry email'",Class 2
Technical Support Engineer,Avaya,Bengaluru,On-site,0,0.159258834,26,Information Technology & Services ,Mid-Senior level,Full-time,communication computer science electrical engineering network security networking post-sales post-sales support problem solving technical support troubleshooting,"'avaya holdings', 'nyse', 'avaya', 'matter', 'informationjob', 'engineeringshort', 'experienceeducationbachelor', 'computer science', 'electrical', 'u.s.', 'avaya', 'avaya', 'avaya', 'avaya global privacy policy'","'network security networking', 'technical support'",Class 2
Business Development Executive,Twenty7 Inc.,Delhi,On-site,1,0.000321248,13,Public Relations & Communications ,Mid-Senior level,Internship,business development business strategy content strategy english microsoft powerpoint organization skills spoken english strategic communications teamwork writing,"'job', 'descriptionbusiness development intern', 'business development intern', 'first floor okhla ind', 'area phase', 'new delhi', 'internship'","'business', 'microsoft', 'powerpoint organization skills spoken english strategic communications teamwork'",Class 4
Assistant Manager Human Resources,Hospitality,Candolim,On-site,0.010771219,0.039536485,5,Management Consulting ,Mid-Senior level,Full-time,human resources (hr)hr policies job postings labor and employment law learning policies & procedures project management recruiting skilled multi-tasker training & development,"'assistant manager', 'goa', 'hr'","'hr policies job postings labor', 'employment law', 'procedures project management'",Class 2
Human Resources Manager,MARWAR TRUCKING - BHARATBENZ,Bikaner,On-site,0.026928048,0.000195044,14,Industrial Automation ,Mid-Senior level,Full-time,human resources (hr)managementattention to detail employee benefits employee benefits design hr policies payroll administration performance management recruiting strategic initiatives,"'recruit', 'onboard', 'manage payroll'","'detail employee benefits employee benefits', 'payroll administration performance'",Class 2
Business Development Manager,My First Boss,New Delhi,On-site,1,0.000298302,16,Computer Software ,Mid-Senior level,Full-time,account management business development business planning communication contractual executive search identifying new opportunities new business development new business opportunities teamwork,"'job', 'business development', 'netaji subhash place', 'delhiexperience', 'yearsshift timings'",'account',Class 4
Academic Counselor,Internet Marketing School,New Delhi,On-site,0.010771219,0.00087196,8,Education Management ,Mid-Senior level,Full-time,business relationship management career counseling communication counseling english negotiation sales sales operations sales planning sales targets,'india',"'business', 'relationship', 'career counseling'",Class 2
Web Designer,Softtrix Tech Solutions Pvt Ltd,Sahibzada Ajit Singh Nagar,On-site,0,0.002122533,50,Information Technology & Services ,Mid-Senior level,Full-time,adobe photoshop design html javascript site maps user experience (ux) user interface design visual design web design wireframing,'above',"'adobe', 'photoshop design', 'user interface'",Class 2
Human Resource Manager (Healthcare Experience),Aims Healthcare,Ahmedabad,On-site,0.010771219,0.000860486,37,Hospital & Health Care ,Mid-Senior level,Full-time,employee engagement employee relations hr policies interpersonal skills new hires onboarding organization skills skilled multi-tasker talent management writing,"'joining formalities', 'new hires', 'implement'","'employee', 'engagement employee relations', 'skills new hires onboarding organization skills'",Class 2
Hiring Manager,House of Doctors,Goregaon,On-site,1,9.18E-05,41,Hospital & Health Care ,Mid-Senior level,Full-time,human resources (hr)communication english interpersonal skills negotiation recruiting resource management team leadership team management teamwork,"'house', 'doctors', 'human resource', 'human resource management'","'communication english', 'skills negotiation'",Class 4
Cloud Engineer I - IN_Permanent WFH,Rackspace Technology,Bengaluru,Remote,0.538560965,0.090959156,200,Information Technology & Services ,Entry level,Full-time,airline ticketing bug tracking cadence encounter cloud computing emerging technologies event ticketing linux operating systems rackspace ticketing systems,"'rackspace', 'linux os', 'support engineer', 'forbes', 'glassdoor', 'rackers'","'airline', 'systems rackspace ticketing systems'",Class 1
HR Technical Recruiter,Intuitive Apps Inc.,Gurugram,On-site,1,0.000355668,43,Information Technology & Services ,Mid-Senior level,Full-time,human resources (hr)client relations customer relationship management (crm) health insurance hiring it recruitment new business opportunities recruiting screening technical understanding,"'hi', 'technical', 'should'","'client relations customer relationship management', 'crm', 'health insurance'",Class 4
Recruiter,COSMOS HIRING PRIVATE LIMITED,Navi Mumbai,On-site,1,0,18,Staffing & Recruiting ,Mid-Senior level,Full-time,human resources (hr)communication interpersonal skills interviewing microsoft office organization skills quotas recruiting social media talent management,"'maintain', 'bachelor', 'microsoft office'","'communication interpersonal skills', 'microsoft office organization skills quotas'",Class 4
Assistant Manager,Wishup.co,Bengaluru,Remote,0.026928048,0.002925654,177,Management Consulting ,Associate,Full-time,business management calendaring english executive administrative assistance lead generation lead management microsoft excel project management spoken english virtual assistance,"'online business', 'admin', 'operations', 'support role', 'wishup', 'online business', 'aptitude', 'english'","'business', 'microsoft excel project'",Class 2
Senior Recruiter,Radiant Logistics,Kolkata,On-site,0.010771219,0.000103258,7,Transportation/Trucking/Railroad ,Mid-Senior level,Full-time,background checks client coordination esic employee benefits mediclaim recruiting salary screening team management vendor coordination,"'senior', 'recruiterlocation', 'taratala'",'checks client',Class 2
SAP Commerce Developer,Mobile Programming LLC,Mumbai,On-site,0.269280483,0.017680128,1,Information Technology & Services ,Mid-Senior level,Full-time,application servers b2c e-commerce continuous integration e-commerce mysql sap marketing cloud sql software quality solr spring framework,"'sap', 'commerce', 'mumbai'","'application', 'servers b2c', 'continuous integration'",Class 2
Windows Infrastructure SME,Mobile Programming LLC,Bengaluru,On-site,0.269280483,0.017680128,13,Information Technology & Services ,Mid-Senior level,Full-time,application security citrix hypervisor cyber-security hypervisor infrastructure microsoft power apps patch management security systems system performance windows,'bengaluru',"'citrix hypervisor', 'microsoft power apps patch', 'security systems system performance'",Class 2
Assistant manager - Talent Actusition,Prime Focus Technologies,Mumbai,On-site,0.269280483,0.023611749,37,Information Technology & Services ,Mid-Senior level,Full-time,businessmanagementcommunication driving results high quality standards in-store marketing indicators key performance indicators quality control written communication,"'acquisitionbusiness unit', 'experiencelocation', 'mumbaiwork'",'key performance indicators quality control written',Class 2
Benefits Analyst,Labcorp,Bengaluru,On-site,0.538614821,0.290488756,28,Hospital & Health Care ,Entry level,Full-time,human resources (hr)analytical skills benefits administration communication data analysis interpersonal skills numeracy payroll administration presentations teamwork,"'finance', 'pos', 'chase'","'analytical skills benefits', 'skills numeracy payroll'",Class 1
Business Development Associate,PlanetSpark,Gurugram,On-site,0.269280483,0.036473153,9,E-learning ,Mid-Senior level,Full-time,business development cold calling communication convincing people customer service lead qualification negotiation sales sales growth start-ups,"'fastest', 'gurgaon locationrole', 'business development', 'associatequalification', 'graduation', 'above', 'thatexperience', 'interview', 'interview', 'lpa', 'fix', 'lpa variable', 'achieve', 'trial classes', 'pitch', 'parents', 'planetspark trial classes5', 'gurgaon', 'youtube', 'vcs', 'india', 'middle east', 'north america', 'australia'","'business', 'development cold calling communication', 'sales growth'",Class 2
Manager Information Security,adidas,Gurgaon,On-site,0.538614821,0.688687471,6,Sporting Goods ,Mid-Senior level,Full-time,business requirements communication computer science data privacy identity & access management (iam) information security information security management network security security awareness technical understanding,"'identity', 'identity administration', 'tech', 'iga', 'identity governance', 'privileged access management', 'identity administration', 'identity', 'access', 'information security', 'identity', 'iga', 'sailpoint identity', 'java', 'beanshell', 'javascript', 'cet', 'information', 'aws', 'gcp', 'azure', 'english'","'business requirements communication computer science data privacy identity', 'access management', 'iam', 'network security security awareness technical'",Class 3
Non-IT Recruiter,FlexAbility by AMS,Mumbai,On-site,0.053856097,0.005690684,16,Human Resources ,Mid-Senior level,Full-time,apac communication e2e mumbai outsourcing pharmaceuticals profiles rpo recruiting resume,"'company', 'flexability', 'amsflexability', 'ams', 'rpo', 'resource', 'mncs', 'indian', 'indian', 'ams', 'alexander mann solutions', 'flexability', 'ams'","'apac', 'communication e2e mumbai'",Class 2
Intern Data Scientist (m/f/d),HRS Group,Mumbai,On-site,0.269280483,0.011163378,200,Information Technology & Services ,Internship,Full-time,algorithms artificial intelligence (ai) business mathematics computer science data analysis data analytics data engineering data science machine learning algorithms pattern recognition,"'hrs', 'hrs group', 'qa', 'qa', 'python', 'aws', 'english'","'algorithms', 'artificial intelligence', 'business mathematics', 'computer science data analysis data', 'machine learning algorithms pattern'",Class 2
Associate/Senior Associate - Business Development,Klub,Bengaluru East,On-site,0.010771219,0.00145709,200,Financial Services ,Mid-Senior level,Full-time,business development case studies decision-making early-stage startups english financing guarantees investing investments sales,"'strategize', 'generate', 'klub', 'rbf', 'rbf', 'klub', 'english', 'd2c'","'business', 'development case studies'",Class 2
Assistant Manager - Lifestyle Finance(JR00111581),Bajaj Finserv,Purnia,On-site,0.538614821,0.378946765,5,Financial Services ,Entry level,Full-time,activity planning command communication concierge services indirect purchasing interpersonal skills message oriented middleware (mom) rcs salesforce.com team management,"'jr00111581', 'manager', 'lifestyle finance'","'skills message oriented middleware', 'mom', 'rcs'",Class 1
Application Support Team Lead,Rio Tinto,Delhi,On-site,0.538614821,0.353028912,10,Mining & Metals ,Mid-Senior level,Full-time,application support communication customer engagement customer-focused service data extraction data models data privacy documentation sap business warehouse (sap bw) strategic thinking,"'gurgaon', 'people data', 'analytics support', 'analytics', 'analytics partnering lead', 'slas', 'human resources', 'sap', 'data lake', 'sql', 'etl', 'sql', 'easymorph', 'microsoft power suite', 'power bi', 'python'",'sap',Class 1
Human Resources Manager,SOL Brand Solutions Pvt. Ltd.,Mumbai,On-site,1,0.000263883,40,Events Services ,Mid-Senior level,Full-time,coaching employee engagement employee relations hr policies onboarding organizational development personnel management recruiting talent management training,"'hr manager', 'us', 'europe', 'travel', 'europe', 'u.s.', 'attritionhr', 'regulationshr manager', 'human resources', 'lawsexceptional', 'skillsstrong', 'hubspot'",'employee engagement employee relations hr policies onboarding organizational development personnel',Class 4
Educational Counselor,Internshala,Delhi,On-site,0.010771219,0.060968334,30,Education Management ,Mid-Senior level,Full-time,academies adobe experience platform (aep) communication continuing education counseling education learning literature sales written communication,"'internshala', 'halo knowledge academy', 'delhi', 'academic counsellor', 'ctc'","'adobe experience platform', 'aep', 'education counseling education learning literature', 'sales written'",Class 2
Educational Counselor,Million Dreams Group,New Delhi,On-site,1,0.000103258,3,Marketing & Advertising ,Mid-Senior level,Full-time,communication counseling psychology english music production negotiation oral communication presentation skills presentations solution-oriented student counseling,"'million', 'dreams institute', 'music production', 'title', 'sales heads', 'academic counsellorjob', 'rajouri garden', 'new', 'milliondreamsinstitute', 'music', 'explain', 'studentsdesired candidate', 'immediate', 'microsoft', 'communicationplease', 'institute'","'music production', 'skills presentations'",Class 4
Assistant Project lead,JLL,Pune,On-site,0.538614821,0.86655576,19,Real Estate ,Mid-Senior level,Full-time,civil engineering communication construction customer satisfaction microsoft outlook project delivery project leadership project management project planning research,"'development', 'likewise', 'jll', 'jll', 'planning', 'likewise', 'jll', 'jll', 'total rewards program'","'civil', 'microsoft outlook project delivery project leadership project'",Class 3
Solution Architect,Merck Group,Bengaluru,On-site,0.538614821,0.271145021,13,Pharmaceuticals ,Mid-Senior level,Full-time,architecture business requirements change impact analysis communication confrontation design specifications microservices spring boot,"'healthcare', 'life science', 'electronics'","'architecture', 'business requirements'",Class 1
Full Stack Engineer,Orion Innovation,Coimbatore,Hybrid,0.538560965,0.043838917,42,Information Technology & Services ,Associate,Full-time,.net core angular azure functions full-stack development microsoft azure,"'key', 'accountability', 'performs', 'performs unit', 'sql server', 'oop', 'fair', 'wcf', 'entity', 'azure'","'core angular azure functions', 'microsoft azure'",Class 1
Freelance Virtual Assistant,Flexing ItÂ®,Bengaluru,Remote,1,0.000585131,57,Computer Software ,Associate,Contract,administrative assistance calendars communication contact lists coordinate meetings expense reports google calendar spreadsheets time management virtual assistance,"'freelancers', 'independent consultants', 'virtual administrative'","'assistance calendars communication contact lists coordinate meetings expense', 'calendar spreadsheets time'",Class 4
RETAIL SALES EXECUTIVE (ELECTRONICS),Dikazo,Hyderabad,On-site,0.010771219,0.000413034,12,Computer Software ,Mid-Senior level,Full-time,customer service laptops mobile devices retail sales sales,"'dikazo', 'kondapur', 'handle'","'customer', 'service laptops mobile devices retail sales sales'",Class 2
"R&D IT, Solutions Engineer Lab Systems",Alcon,Bengaluru,On-site,0.538614821,0.272579165,27,Medical Device ,Entry level,Full-time,3rd party integrations design documents end user training enterprise solution design functional specifications hardware configuration process validation technical design user acceptance testing user requirements,"'alcon lab', 'r', 'mto', 'qa', 'alcon lab'",'party integrations',Class 1
Compensation Analyst,Labcorp,Bengaluru,On-site,0.538614821,0.290488756,13,Hospital & Health Care ,Mid-Senior level,Full-time,communication compensation management data analysis interpersonal skills job evaluation market pricing numeracy pay equity presentations recognition programs,"'compensation partners', 'portal', 'maps', 'compensation'",'skills job evaluation market pricing numeracy pay equity',Class 1
Marcom Support,Dalmia Bharat Group,New Delhi,On-site,0.538614821,0.03282469,200,Building Materials ,Mid-Senior level,Full-time,advertisingmarketingbelow the line advertising brand management budgeting campaign plans communication microsoft excel microsoft powerpoint project management,"'prior', 'agency handling', 'brand', 'brand monitoring', 'campaign planning', 'atl', 'btl', 'events', 'budget planning', 'degree'","'line', 'brand management budgeting campaign', 'communication microsoft excel microsoft'",Class 1
Business Development Executive,Extramarks Education India Pvt. Ltd.,Noida,On-site,0.269280483,0.058536026,14,E-learning ,Mid-Senior level,Full-time,b2c business business development communication prospects research retail sales sales,"'develop', 'calling', 'crm', 'extramarks'","'b2c', 'business business'",Class 2
Customer Success Executive,FCI CCM,Navi Mumbai,On-site,0.053856097,0.002237265,111,Information Technology & Services ,Mid-Senior level,Full-time,analytical skills building trust campaigns case studies communication consultative approach customer satisfaction customer success onboarding sales & marketing,"'job', 'yearswork location', 'navi mumbaiwork timings'",'skills building trust campaigns case studies',Class 2
Human Resources Executive,XtraNet Technologies Private Limited,Bhopal,On-site,0.026928048,0.002696191,16,Information Technology & Services ,Mid-Senior level,Full-time,human resources (hr)it recruitment job description development learning microsoft excel portals recruiting research service-level agreements (sla) technology recruitment,"'navi mumbaiexperience', 'end life cycle', 'recruitment'","'microsoft excel portals', 'sla', 'technology recruitment'",Class 2
Project Management - API Research & Development,Intas Pharmaceuticals,Ahmedabad,On-site,0.538614821,0.141073887,200,Pharmaceuticals ,Mid-Senior level,Full-time,product lifecycle management project implementation project initiation project management project planning research and development (r&d),"'produce', 'pif', 'pms', 'api projects', 'pms', 'rm', 'sourcing', 'cft', 'major', 'ttd', 'dmf'","'product', 'lifecycle management project', 'development', 'r'",Class 1
Senior Specialist,A.P. Moller - Maersk,Chennai,On-site,0.538614821,0.617014686,135,Transportation/Trucking/Railroad ,Mid-Senior level,Full-time,account management continuous improvement cost management inventory management key account management key performance indicators software solution development supervisory skills warehouse management warehouse operations,"'graduate', 'ocean', 'logistics'","'account', 'software solution development supervisory skills warehouse'",Class 3
